Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,Tm,Opp.1,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,2P.1,2PA.1,2P%.1,eFG%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1
46,46,2010-01-27,@,IND,W,118,96,,44,97,.454,5,22,.227,39,75,.520,.479,25,30,.833,20,42,62,19,8,2,10,14,39,93,.419,7,28,.250,32,65,.492,.457,11,14,.786,11,31,42,22,6,3,11,24
47,47,2010-01-29,@,PHI,W,99,91,,37,81,.457,3,15,.200,34,66,.515,.475,22,27,.815,9,27,36,18,13,8,10,17,36,80,.450,4,11,.364,32,69,.464,.475,15,20,.750,13,31,44,19,8,11,20,18
48,48,2010-01-31,@,BOS,W,90,89,,35,73,.479,4,14,.286,31,59,.525,.507,16,22,.727,8,28,36,17,8,6,16,19,34,73,.466,6,20,.300,28,53,.528,.507,15,19,.789,10,29,39,20,10,2,18,21
49,49,2010-02-01,@,MEM,L,93,95,,34,73,.466,8,20,.400,26,53,.491,.521,17,27,.630,5,34,39,17,7,0,15,24,34,82,.415,5,17,.294,29,65,.446,.445,22,32,.688,12,37,49,14,7,3,10,21
50,50,2010-02-03,,CHA,W,99,97,,39,84,.464,6,17,.353,33,67,.493,.500,15,20,.750,16,22,38,24,9,4,7,23,37,82,.451,6,20,.300,31,62,.500,.488,17,22,.773,18,27,45,15,4,3,14,19
51,51,2010-02-05,,DEN,L,113,126,,44,98,.449,8,26,.308,36,72,.500,.490,17,20,.850,18,30,48,17,10,2,12,21,48,84,.571,15,22,.682,33,62,.532,.661,15,21,.714,8,33,41,25,9,4,13,21
52,52,2010-02-06,@,POR,W,99,82,,41,84,.488,8,19,.421,33,65,.508,.536,9,15,.600,12,35,47,24,8,2,10,16,31,71,.437,5,18,.278,26,53,.491,.472,15,19,.789,2,28,30,20,5,3,10,18
53,53,2010-02-08,,SAS,W,101,89,,38,87,.437,6,14,.429,32,73,.438,.471,19,26,.731,12,33,45,20,4,7,10,13,35,82,.427,4,12,.333,31,70,.443,.451,15,18,.833,10,32,42,17,4,6,13,24
54,54,2010-02-10,@,UTA,W,96,81,,36,77,.468,5,13,.385,31,64,.484,.500,19,24,.792,9,34,43,19,9,7,18,22,33,75,.440,2,13,.154,31,62,.500,.453,13,25,.520,9,28,37,19,10,6,17,19
55,55,2010-02-16,,GSW,W,104,94,,38,85,.447,6,22,.273,32,63,.508,.482,22,31,.710,11,42,53,21,8,3,19,20,35,84,.417,10,27,.370,25,57,.439,.476,14,19,.737,3,33,36,24,8,3,17,25
56,56,2010-02-18,,BOS,L,86,87,,33,82,.402,4,16,.250,29,66,.439,.427,16,25,.640,12,38,50,14,6,8,12,20,37,84,.440,5,15,.333,32,69,.464,.470,8,13,.615,8,35,43,21,5,7,11,18
57,57,2010-02-23,@,MEM,W,99,98,,37,76,.487,6,17,.353,31,59,.525,.526,19,26,.731,7,30,37,19,12,4,17,20,39,83,.470,5,14,.357,34,69,.493,.500,15,20,.750,8,34,42,15,10,8,18,21
58,58,2010-02-24,@,DAL,L,96,101,,38,78,.487,5,17,.294,33,61,.541,.519,15,16,.938,7,29,36,19,10,2,17,20,35,80,.438,8,21,.381,27,59,.458,.488,23,26,.885,13,28,41,23,10,6,17,20
59,59,2010-02-26,,PHI,W,99,90,,41,91,.451,5,14,.357,36,77,.468,.478,12,14,.857,16,31,47,22,4,7,14,11,40,91,.440,3,16,.188,37,75,.493,.456,7,11,.636,16,27,43,23,8,6,10,13
60,60,2010-02-28,,DEN,W,95,89,,36,79,.456,8,16,.500,28,63,.444,.506,15,21,.714,12,35,47,22,16,6,18,19,28,78,.359,7,25,.280,21,53,.396,.404,26,33,.788,12,31,43,15,11,2,20,20
61,61,2010-03-02,,IND,W,122,99,,45,87,.517,10,23,.435,35,64,.547,.575,22,24,.917,10,33,43,33,12,4,13,12,41,87,.471,7,17,.412,34,70,.486,.511,10,15,.667,12,28,40,28,8,3,18,18
62,62,2010-03-04,@,MIA,L,111,114,OT,45,88,.511,6,23,.261,39,65,.600,.545,15,25,.600,13,26,39,15,11,1,16,23,42,80,.525,9,19,.474,33,61,.541,.581,21,25,.840,8,30,38,25,12,4,15,18
63,63,2010-03-05,@,CHA,L,83,98,,29,80,.363,3,18,.167,26,62,.419,.381,22,30,.733,15,26,41,15,11,3,20,20,36,70,.514,6,12,.500,30,58,.517,.557,20,27,.741,8,33,41,22,13,8,20,24
64,64,2010-03-07,@,ORL,L,94,96,,33,88,.375,5,17,.294,28,71,.394,.403,23,26,.885,14,25,39,16,6,6,7,28,30,73,.411,8,24,.333,22,49,.449,.466,28,39,.718,15,35,50,18,3,7,20,25
65,65,2010-03-09,,TOR,W,109,107,,35,78,.449,3,15,.200,32,63,.508,.468,36,44,.818,12,28,40,19,7,4,9,24,36,81,.444,9,22,.409,27,59,.458,.500,26,30,.867,11,33,44,23,4,4,13,31
66,66,2010-03-12,@,PHO,W,102,96,,40,81,.494,9,25,.360,31,56,.554,.549,13,22,.591,12,28,40,21,9,6,14,25,34,80,.425,6,21,.286,28,59,.475,.463,22,27,.815,14,29,43,18,6,5,13,13
67,67,2010-03-15,@,GSW,W,124,121,,42,75,.560,6,20,.300,36,55,.655,.600,34,42,.810,14,42,56,25,4,8,24,14,48,100,.480,13,30,.433,35,70,.500,.545,12,13,.923,7,18,25,29,14,1,5,26
68,68,2010-03-16,@,SAC,W,106,99,,42,87,.483,4,14,.286,38,73,.521,.506,18,28,.643,14,36,50,23,3,5,10,18,36,84,.429,7,22,.318,29,62,.468,.470,20,28,.714,11,32,43,22,4,9,9,25
69,69,2010-03-19,,MIN,W,104,96,,34,82,.415,7,25,.280,27,57,.474,.457,29,35,.829,13,34,47,24,13,3,15,17,42,91,.462,4,18,.222,38,73,.521,.484,8,11,.727,14,34,48,22,7,4,19,23
70,70,2010-03-21,,WAS,W,99,92,,36,68,.529,9,17,.529,27,51,.529,.596,18,22,.818,10,27,37,25,9,6,18,14,37,76,.487,6,14,.429,31,62,.500,.526,12,17,.706,10,21,31,24,11,2,13,16
71,71,2010-03-24,@,SAS,W,92,83,,36,79,.456,10,20,.500,26,59,.441,.519,10,17,.588,10,34,44,15,7,5,13,21,30,80,.375,8,27,.296,22,53,.415,.425,15,19,.789,14,31,45,16,6,7,14,20
72,72,2010-03-26,@,OKC,L,75,91,,29,74,.392,2,15,.133,27,59,.458,.405,15,24,.625,12,27,39,7,8,3,18,18,37,77,.481,2,18,.111,35,59,.593,.494,15,18,.833,8,34,42,15,12,4,14,17
73,73,2010-03-27,@,HOU,W,109,101,,42,73,.575,8,14,.571,34,59,.576,.630,17,24,.708,8,35,43,21,4,9,16,25,38,88,.432,8,26,.308,30,62,.484,.477,17,21,.810,11,21,32,25,9,1,8,23
74,74,2010-03-29,@,NOH,L,100,108,,38,91,.418,7,29,.241,31,62,.500,.456,17,22,.773,19,29,48,18,4,2,9,27,36,73,.493,10,23,.435,26,50,.520,.562,26,34,.765,8,32,40,22,6,4,9,20
75,75,2010-03-31,@,ATL,L,92,109,,33,72,.458,8,20,.400,25,52,.481,.514,18,26,.692,8,28,36,17,4,0,12,16,45,83,.542,9,22,.409,36,61,.590,.596,10,15,.667,11,28,39,21,6,2,5,20
76,76,2010-04-02,,UTA,W,106,92,,35,81,.432,7,20,.350,28,61,.459,.475,29,37,.784,10,38,48,25,7,6,9,23,38,85,.447,4,15,.267,34,70,.486,.471,12,21,.571,9,36,45,22,6,4,14,26
77,77,2010-04-04,,SAS,L,81,100,,33,81,.407,5,21,.238,28,60,.467,.438,10,14,.714,8,26,34,25,6,5,12,21,37,76,.487,7,18,.389,30,58,.517,.533,19,24,.792,9,32,41,20,4,2,14,19
78,78,2010-04-08,@,DEN,L,96,98,,30,82,.366,8,21,.381,22,61,.361,.415,28,33,.848,17,35,52,16,5,6,11,20,34,78,.436,11,25,.440,23,53,.434,.506,19,28,.679,9,30,39,23,5,7,10,23
79,79,2010-04-09,@,MIN,W,97,88,,38,86,.442,7,22,.318,31,64,.484,.483,14,18,.778,17,29,46,21,9,9,12,15,38,89,.427,7,23,.304,31,66,.470,.466,5,9,.556,15,30,45,24,7,3,16,19
80,80,2010-04-11,,POR,L,88,91,,37,87,.425,5,22,.227,32,65,.492,.454,9,14,.643,10,31,41,19,5,6,6,18,36,80,.450,6,15,.400,30,65,.462,.488,13,15,.867,12,34,46,19,0,5,11,23
81,81,2010-04-13,,SAC,W,106,100,,41,83,.494,7,20,.350,34,63,.540,.536,17,21,.810,14,25,39,24,2,5,16,15,43,90,.478,5,16,.313,38,74,.514,.506,9,14,.643,15,26,41,27,10,3,12,21
82,82,2010-04-14,@,LAC,L,91,107,,34,86,.395,4,11,.364,30,75,.400,.419,19,28,.679,16,33,49,20,3,2,14,16,42,83,.506,9,23,.391,33,60,.550,.560,14,19,.737,9,39,48,31,9,7,12,21
,,,,,57-25,8339,7952,,3144,6875,.457,532,1562,.341,2612,5313,.492,.496,1519,1985,.765,973,2662,3635,1730,612,400,1096,1592,3050,6840,.446,520,1585,.328,2530,5255,.481,.484,1332,1776,.750,914,2546,3460,1792,573,363,1159,1737
